"Kuukausi","Hyödyke","Indeksipisteluku"
"2018M07","04.6.1.1 Osakehuoneistot ja kiinteistöt",101.52
"2018M08","04.1 Todelliset asumisvuokrat",106.66
"2018M08","04.6.1.1 Osakehuoneistot ja kiinteistöt",101.79
"2018M09","04.1 Todelliset asumisvuokrat",106.80
"2018M09","04.6.1.1 Osakehuoneistot ja kiinteistöt",101.79
"2018M10","04.1 Todelliset asumisvuokrat",106.92
"2018M10","04.6.1.1 Osakehuoneistot ja kiinteistöt",101.49
"2018M11","04.1 Todelliset asumisvuokrat",107.05
"2018M11","04.6.1.1 Osakehuoneistot ja kiinteistöt",100.03
"2018M12","04.1 Todelliset asumisvuokrat",107.16
"2018M12","04.6.1.1 Osakehuoneistot ja kiinteistöt",100.03
"2019M01","04.1 Todelliset asumisvuokrat",107.31
"2019M01","04.6.1.1 Osakehuoneistot ja kiinteistöt",99.81
"2019M02","04.1 Todelliset asumisvuokrat",107.55
"2019M02","04.6.1.1 Osakehuoneistot ja kiinteistöt",99.61
"2019M03","04.1 Todelliset asumisvuokrat",107.82
"2019M03","04.6.1.1 Osakehuoneistot ja kiinteistöt",99.61
"2019M04","04.1 Todelliset asumisvuokrat",108.10
"2019M04","04.6.1.1 Osakehuoneistot ja kiinteistöt",99.23
"2019M05","04.1 Todelliset asumisvuokrat",108.32
"2019M05","04.6.1.1 Osakehuoneistot ja kiinteistöt",99.51
"2019M06","04.1 Todelliset asumisvuokrat",108.53
"2019M06","04.6.1.1 Osakehuoneistot ja kiinteistöt",99.51
"2019M07","04.1 Todelliset asumisvuokrat",108.70
"2019M07","04.6.1.1 Osakehuoneistot ja kiinteistöt",100.18
"2019M08","04.1 Todelliset asumisvuokrat",108.86
"2019M08","04.6.1.1 Osakehuoneistot ja kiinteistöt",101.38
"2019M09","04.1 Todelliset asumisvuokrat",108.99
"2019M09","04.6.1.1 Osakehuoneistot ja kiinteistöt",101.38
"2019M10","04.1 Todelliset asumisvuokrat",109.11
"2019M10","04.6.1.1 Osakehuoneistot ja kiinteistöt",101.07
"2019M11","04.1 Todelliset asumisvuokrat",109.22
"2019M11","04.6.1.1 Osakehuoneistot ja kiinteistöt",100.12
"2019M12","04.1 Todelliset asumisvuokrat",109.34
"2019M12","04.6.1.1 Osakehuoneistot ja kiinteistöt",100.12
"2020M01","04.1 Todelliset asumisvuokrat",109.52
"2020M01","04.6.1.1 Osakehuoneistot ja kiinteistöt",100.12
"2020M02","04.1 Todelliset asumisvuokrat",109.41
"2020M02","04.6.1.1 Osakehuoneistot ja kiinteistöt",99.28
"2020M03","04.1 Todelliset asumisvuokrat",109.59
"2020M03","04.6.1.1 Osakehuoneistot ja kiinteistöt",98.72
"2020M04","04.1 Todelliset asumisvuokrat",109.93
"2020M04","04.6.1.1 Osakehuoneistot ja kiinteistöt",99.19
"2020M05","04.1 Todelliset asumisvuokrat",109.98
"2020M05","04.6.1.1 Osakehuoneistot ja kiinteistöt",99.42
"2020M06","04.1 Todelliset asumisvuokrat",110.00
"2020M06","04.6.1.1 Osakehuoneistot ja kiinteistöt",99.42
"2020M07","04.1 Todelliset asumisvuokrat",110.12
"2020M07","04.6.1.1 Osakehuoneistot ja kiinteistöt",99.44
"2020M08","04.1 Todelliset asumisvuokrat",110.17
"2020M08","04.6.1.1 Osakehuoneistot ja kiinteistöt",100.56
"2020M09","04.1 Todelliset asumisvuokrat",110.25
"2020M09","04.6.1.1 Osakehuoneistot ja kiinteistöt",100.56
"2020M10","04.1 Todelliset asumisvuokrat",110.34
"2020M10","04.6.1.1 Osakehuoneistot ja kiinteistöt",101.06
"2020M11","04.1 Todelliset asumisvuokrat",110.34
"2020M11","04.6.1.1 Osakehuoneistot ja kiinteistöt",101.84
"2020M12","04.1 Todelliset asumisvuokrat",110.32
"2020M12","04.6.1.1 Osakehuoneistot ja kiinteistöt",101.84
"2021M01","04.1 Todelliset asumisvuokrat",110.40
"2021M01","04.6.1.1 Osakehuoneistot ja kiinteistöt",101.86
"2021M02","04.1 Todelliset asumisvuokrat",110.42
"2021M02","04.6.1.1 Osakehuoneistot ja kiinteistöt",102.26
"2021M03","04.1 Todelliset asumisvuokrat",110.56
"2021M03","04.6.1.1 Osakehuoneistot ja kiinteistöt",102.26
"2021M04","04.1 Todelliset asumisvuokrat",110.87
"2021M04","04.6.1.1 Osakehuoneistot ja kiinteistöt",102.51
